index,wass_dist
1544.0,1.971464094
1545.0,3.716289157
1546.0,1.02728111
1547.0,1.662940057
1548.0,0.424700059
1549.0,0.311121499
1550.0,0.91477137
1551.0,3.508968489
1552.0,1.375462194
1553.0,1.319932129
1554.0,4.504433777
1555.0,1.102532043
1556.0,0.772914291
1557.0,1.658714421
1558.0,0.148302225
1559.0,6.242439937
1560.0,0.761005919
1561.0,9.483994629
1562.0,0.348274208
1563.0,2.294611563
1564.0,1.640012849
1565.0,3.800287193
1566.0,4.271035153
1567.0,0.547090054
1568.0,0.858933861
1570.0,0.903251907
1571.0,1.094224024
1572.0,1.694940211
1573.0,3.340401753
1574.0,3.72723293
1575.0,3.543947247
1576.0,1.273601925
1577.0,0.729432696
1578.0,0.655082783
1579.0,2.437632716
1580.0,2.018090892
1582.0,2.51399995
1583.0,8.60872425
1584.0,0.714417102
1585.0,0.340267567
1586.0,5.669170728
1587.0,1.089654528
1588.0,0.53504446
1589.0,1.056583249
1590.0,0.74597912
1591.0,1.19006795
1592.0,8.891460066
1593.0,4.497990384
1594.0,4.631726465
1595.0,1.044898331
1596.0,2.184205296
1597.0,0.563278268
1598.0,2.522359148
1599.0,2.772309428
1600.0,1.516426892
1601.0,2.154386703
1602.0,4.440021986
1603.0,3.854000766
1604.0,1.392940103
1605.0,1.574212607
1606.0,0.934216771
1607.0,1.384344494
1608.0,1.029898906
1609.0,3.498835274
1610.0,1.268179271
1611.0,1.058035744
1612.0,2.121519227
1613.0,1.411922288
1614.0,0.725249431
1615.0,0.442910919
1616.0,6.356090755
1617.0,2.912781153
1618.0,2.855501219
1619.0,1.832452288
1620.0,2.942782649
1621.0,2.770853306
1622.0,0.585182619
1624.0,4.608821525
1625.0,5.173053095
1626.0,0.452741464
1627.0,0.292979175
1628.0,1.543124922
1629.0,0.1334679
1630.0,1.81041566
1631.0,0.84176564
1632.0,1.792663073
1633.0,0.698746974
1634.0,0.782970849
1635.0,5.472831852
1636.0,1.20077392
1637.0,2.816269369
1638.0,0.897866921
1639.0,1.233150982
1640.0,4.980171139
1641.0,2.625644443
1642.0,0.231763408
1643.0,1.978473129
1644.0,1.569113556
1645.0,10.17625011
1646.0,0.35104344
1647.0,0.559972717
1648.0,1.246515402
1649.0,12.4471881
1650.0,0.370731167
1651.0,0.35067143
1652.0,0.395887275
1653.0,0.863210375
1654.0,6.852069814
1655.0,2.026064159
1656.0,1.175274878
1657.0,0.476683656
1658.0,1.838623699
1659.0,1.075005986
1660.0,10.54610006
1661.0,3.385940833
1662.0,0.5468389
1663.0,3.69109886
1664.0,1.179570881
1665.0,2.110527293
1666.0,0.64827882
1667.0,3.842247887
1668.0,1.082479852
1669.0,1.659097343
1670.0,0.132405626
1671.0,1.249412174
1672.0,3.057180847
1673.0,2.398724249
1674.0,1.597142499
1675.0,2.000085676
1676.0,2.186928768
1677.0,1.483503307
1678.0,5.636994094
1679.0,0.498663319
1680.0,1.003014375
1681.0,1.318300729
1682.0,0.36786019
1683.0,2.876347057
1684.0,6.241794148
1685.0,5.726918879
1686.0,1.356847674
1687.0,1.662423025
1688.0,1.236327889
1689.0,0.89279685
1690.0,0.838464795
1691.0,0.777711198
1692.0,0.979691104
1693.0,2.291975022
1695.0,0.901660098
1696.0,1.459555712
1697.0,0.86536682
1698.0,1.055761529
1699.0,1.268211339
1700.0,1.636171651
1701.0,2.722521365
1702.0,2.894835941
1703.0,2.574481511
1704.0,1.947587997
1705.0,1.521437993
1706.0,1.712331396
1707.0,0.691048857
1708.0,0.472975081
1709.0,2.459375846
1710.0,1.269379485
1711.0,2.76956895
1712.0,0.446098389
1713.0,1.154451119
1714.0,0.552753128
1715.0,1.259573749
1716.0,0.404301142
1717.0,2.217574754
1718.0,1.151119963
